스타일대분류,스타일소분류,맥주명,양조장명,제조국가명,도수,평균점수,리뷰수,평가수,현재상태,Full Name,Astringent,Body,Alcoholic,Bitter,Sweet,Sour,Salty,Fruity,Hoppy,Spices,Malty
Bocks,Doppelbock,Winter Bock,Gordon Biersch Brewery Restaurant,United States,7.5,3.68,117,140,Active,Winter Bock Gordon Biersch Brewery Restaurant,3,75,50,29,143,34,0,93,15,10,120
Bocks,Doppelbock,Deep Water Dopplebock,Thomas Creek Brewery,United States,7,3.52,106,128,Active,Deep Water Dopplebock Thomas Creek Brewery,6,47,11,14,60,7,0,19,9,11,80
Bocks,Doppelbock,Icelandic Doppelbock,Einstök Ölgerð (Einstök Beer Company),Iceland,6.7,3.69,63,166,Active,Icelandic Doppelbock Einstök Ölgerð (Einstök Beer Company),5,41,12,26,43,7,0,18,14,1,84
Bocks,Doppelbock,Brewmaster's Premium Reserve Dopple Bock,Sprecher Brewing Company,United States,8,3.83,142,78,Active,Brewmaster's Premium Reserve Dopple Bock Sprecher Brewing Company,10,42,21,24,72,17,2,34,32,12,111
Bocks,Doppelbock,Sled Dog Dopplebock,Wagner Valley Brewing Co.,United States,8.5,3.69,110,95,Active,Sled Dog Dopplebock Wagner Valley Brewing Co.,2,37,19,18,72,21,0,34,20,13,83
Bocks,Doppelbock,Primátor Double Bock Beer,Pivovar Náchod a.s.,Czech Republic,10.5,3.46,127,76,Active,Primátor Double Bock Beer Pivovar Náchod a.s.,6,44,18,25,92,18,0,58,29,15,112
Bocks,Doppelbock,Double Skull,Epic Brewing Company,United States,8,3.72,64,128,Active,Double Skull Epic Brewing Company,6,43,24,30,95,17,0,39,16,7,73
Bocks,Doppelbock,St. Nikolaus Bock Bier - Brewer's Reserve,Pennsylvania Brewing Company,United States,8.5,4.18,111,79,Active,St. Nikolaus Bock Bier - Brewer's Reserve Pennsylvania Brewing Company,7,40,7,22,45,13,0,21,23,4,71
Bocks,Doppelbock,Winter-Bock,Einbecker Brauhaus,Germany,7.5,3.79,88,96,Active,Winter-Bock Einbecker Brauhaus,16,48,23,23,52,19,0,32,23,8,72
Bocks,Doppelbock,Emancipator Doppelbock,Christian Moerlein Brewing Company,United States,7,3.78,77,102,Active,Emancipator Doppelbock Christian Moerlein Brewing Company,7,51,28,29,98,18,0,47,29,5,98
Bocks,Doppelbock,Granitbock,Brauerei Hofstetten / Krammer,Austria,7.3,3.71,88,71,Active,Granitbock Brauerei Hofstetten / Krammer,11,27,13,12,48,12,0,25,18,4,58
Bocks,Doppelbock,Hofbräu Winter Spezial,Hofbräuhaus München,Germany,8.4,3.79,52,79,Active,Hofbräu Winter Spezial Hofbräuhaus München,12,41,13,23,66,27,0,34,16,7,84
Bocks,Doppelbock,Altenmünster Winterbier Dopplebock,Allgäuer Brauhaus AG,Germany,7.2,3.58,90,34,Active,Altenmünster Winterbier Dopplebock Allgäuer Brauhaus AG,5,38,24,15,72,22,0,39,14,17,79
Bocks,Doppelbock,Spring Bock,Amsterdam Brewing Company,Canada,7.8,3.67,57,61,Active,Spring Bock Amsterdam Brewing Company,11,82,36,45,60,18,0,32,32,10,102
Bocks,Doppelbock,Animator,Hacker-Pschorr Bräu GmbH,Germany,8.1,3.9,59,51,Active,Animator Hacker-Pschorr Bräu GmbH,6,57,19,47,78,22,0,54,48,5,92
Bocks,Doppelbock,Generator Doppelbock,Metropolitan Brewing,United States,8.2,3.83,32,78,Active,Generator Doppelbock Metropolitan Brewing,5,54,33,22,91,29,0,59,30,19,110
Bocks,Doppelbock,Dark Doppelbock,Capital Brewery,United States,7.8,4.07,61,41,Active,Dark Doppelbock Capital Brewery,18,43,18,29,66,19,0,34,29,11,81
Bocks,Doppelbock,Bonator,Klosterbrauerei Weissenohe / Klosterbrauerei Weißenohe Wirtshaus,Germany,8.2,3.96,54,44,Active,Bonator Klosterbrauerei Weissenohe / Klosterbrauerei Weißenohe Wirtshaus,8,57,27,30,79,30,2,44,16,10,126
Bocks,Doppelbock,Kartäuser Doppelbock Dunkel,Memminger Brauerei,Germany,7.5,3.76,42,56,Active,Kartäuser Doppelbock Dunkel Memminger Brauerei,14,75,31,31,103,30,0,55,23,7,124
Bocks,Doppelbock,Doppelbock,"Bayern Brewing, Inc. / Edelweiss Bistro",United States,8.4,3.92,46,50,Active,"Doppelbock Bayern Brewing, Inc. / Edelweiss Bistro",4,30,9,24,64,11,1,27,27,8,72
Bocks,Doppelbock,Hell On High Quad Bock,Rinkuškiai,Lithuania,14,2.57,27,57,Active,Hell On High Quad Bock Rinkuškiai,12,67,34,29,75,19,0,34,15,6,102
Bocks,Doppelbock,Dragon Lady,Rinkuškiai,Lithuania,9.7,3.02,28,50,Active,Dragon Lady Rinkuškiai,5,34,55,8,79,41,0,49,4,3,51
Bocks,Doppelbock,Löwenbräu Triumphator,Löwenbräu AG,Germany,7.6,3.91,38,38,Active,Löwenbräu Triumphator Löwenbräu AG,6,33,25,14,46,20,0,29,18,3,54
Bocks,Doppelbock,Hofbräu Delicator,Hofbräuhaus München,Germany,7.5,3.81,28,46,Active,Hofbräu Delicator Hofbräuhaus München,6,38,29,35,72,20,0,34,30,17,103
Bocks,Doppelbock,Kiss The Goat,Gigantic Brewing Company,United States,8,3.94,20,44,Active,Kiss The Goat Gigantic Brewing Company,10,48,26,22,49,16,1,21,20,4,71
Bocks,Doppelbock,Deviator Doppelbock - Bourbon Barrel Aged,Cameron's Brewing Co.,Canada,8.6,3.88,24,39,Active,Deviator Doppelbock - Bourbon Barrel Aged Cameron's Brewing Co.,12,70,17,41,66,15,1,18,27,5,113
Bocks,Doppelbock,St. Martin Dunkler Doppelbock,Aktienbrauerei Kaufbeuren AG,Germany,7.5,3.98,53,8,Active,St. Martin Dunkler Doppelbock Aktienbrauerei Kaufbeuren AG,8,90,82,25,93,27,1,63,18,40,156
Bocks,Doppelbock,Gyrator Doppel,New Glarus Brewing Company,United States,7.3,4.23,20,35,Active,Gyrator Doppel New Glarus Brewing Company,10,64,21,21,117,30,0,57,12,14,102
Bocks,Doppelbock,Brand Dubbelbock,Brand Bierbrouwerij,Netherlands,7.5,3.74,24,27,Active,Brand Dubbelbock Brand Bierbrouwerij,11,64,16,17,84,22,0,47,16,7,119
Bocks,Doppelbock,Before-After Triple Bock,Rinkuškiai,Lithuania,12,3.18,22,28,Active,Before-After Triple Bock Rinkuškiai,5,31,9,23,61,15,0,22,19,2,53
Bocks,Doppelbock,Bauern Bock,The Olde Mecklenburg Brewery,United States,7.5,3.83,27,19,Active,Bauern Bock The Olde Mecklenburg Brewery,8,37,49,11,53,25,0,27,9,13,37
Bocks,Doppelbock,Saku Tume,Saku Brewery LTD,Estonia,6.7,3.54,23,20,Active,Saku Tume Saku Brewery LTD,19,51,18,28,83,39,0,43,33,7,90
Bocks,Doppelbock,Ettaler Curator Doppelbock (Original German Version),Klosterbrauerei Ettal,Germany,7,3.9,26,15,Active,Ettaler Curator Doppelbock (Original German Version) Klosterbrauerei Ettal,9,58,17,31,94,22,0,55,18,3,93
Bocks,Doppelbock,Mediator,Heater Allen Brewing,United States,7.8,3.82,24,16,Active,Mediator Heater Allen Brewing,7,28,22,27,47,8,2,18,24,12,72
Bocks,Doppelbock,Monteith's Doppelbock Winter Ale,Monteith's Brewing Co.,New Zealand,6,3.64,29,11,Active,Monteith's Doppelbock Winter Ale Monteith's Brewing Co.,6,39,11,24,66,20,0,40,25,6,74
Bocks,Doppelbock,Scheyern Kloster-Doppelbock Dunkel,Klosterbrauerei Scheyern,Germany,7.4,3.94,23,17,Active,Scheyern Kloster-Doppelbock Dunkel Klosterbrauerei Scheyern,13,72,22,27,65,28,0,35,20,10,94
Bocks,Eisbock,Aventinus Eisbock,Schneider Weisse G. Schneider & Sohn,Germany,12,4.25,"1,253","1,599",Active,Aventinus Eisbock Schneider Weisse G. Schneider & Sohn,12,54,30,17,60,19,0,27,17,12,83
Bocks,Eisbock,Raspberry Eisbock,Kuhnhenn Brewing Company,United States,15.5,4.38,471,850,Active,Raspberry Eisbock Kuhnhenn Brewing Company,5,52,64,11,92,31,0,62,7,27,87
Bocks,Eisbock,Eisbock,Kulmbacher Brauerei AG,Germany,9.2,4.12,645,482,Active,Eisbock Kulmbacher Brauerei AG,6,44,22,15,113,25,0,66,5,6,68
Bocks,Eisbock,Winter Wonder Lager,Kuhnhenn Brewing Company,United States,13,3.86,87,49,Active,Winter Wonder Lager Kuhnhenn Brewing Company,10,46,37,18,73,16,0,46,8,7,79
Bocks,Eisbock,Hermannator,Vancouver Island Brewing,Canada,9.5,3.94,46,39,Active,Hermannator Vancouver Island Brewing,6,67,75,20,157,48,0,93,12,26,124
Bocks,Eisbock,Granitbock Ice,Brauerei Hofstetten / Krammer,Austria,11.5,3.9,25,34,Active,Granitbock Ice Brauerei Hofstetten / Krammer,4,64,34,45,84,22,0,55,29,7,111
Bocks,Eisbock,Eis Maker,Jack's Abby Brewing,United States,13,4.21,27,23,Active,Eis Maker Jack's Abby Brewing,9,47,53,19,125,32,1,76,10,9,100
Bocks,Eisbock,Schnee Boot,Heavy Seas Beer,United States,13,4.18,22,27,Active,Schnee Boot Heavy Seas Beer,4,71,82,8,100,20,0,45,6,24,128
Bocks,Maibock,Dead Guy Ale,Rogue Ales,United States,6.8,3.94,"2,569","5,511",Active,Dead Guy Ale Rogue Ales,5,62,79,19,98,28,0,64,6,28,135
Bocks,Maibock,Andygator,Abita Brewing Co.,United States,8,3.56,505,"1,293",Active,Andygator Abita Brewing Co.,2,31,8,21,43,13,0,19,29,4,64
Bocks,Maibock,Hofbräu Maibock (Urbock),Hofbräuhaus München,Germany,7.2,3.9,400,451,Active,Hofbräu Maibock (Urbock) Hofbräuhaus München,8,24,19,18,34,17,0,16,24,6,39
Bocks,Maibock,Mardi Gras Bock,Abita Brewing Co.,United States,6.5,3.47,286,564,Active,Mardi Gras Bock Abita Brewing Co.,14,28,11,17,57,11,0,20,22,8,88
Bocks,Maibock,Cultivator,Tröegs Brewing Company,United States,6.9,3.85,135,511,Active,Cultivator Tröegs Brewing Company,21,28,22,30,27,7,0,9,38,6,90
Bocks,Maibock,Cabin Fever,New Glarus Brewing Company,United States,6,3.61,188,426,Active,Cabin Fever New Glarus Brewing Company,18,46,15,33,41,20,2,25,54,10,85
Bocks,Maibock,Maibock,Summit Brewing Company,United States,6.7,3.62,220,258,Active,Maibock Summit Brewing Company,16,31,7,20,66,7,3,15,28,3,81
Bocks,Maibock,Mai-Ur-Bock,Einbecker Brauhaus,Germany,6.5,3.78,293,177,Active,Mai-Ur-Bock Einbecker Brauhaus,18,42,9,46,35,17,3,20,62,17,86
Bocks,Maibock,Josephs Brau Heller Bock,Trader Joe's Brewing Company,United States,7,3.43,226,211,Active,Josephs Brau Heller Bock Trader Joe's Brewing Company,15,26,13,43,44,14,0,17,58,5,91
Bocks,Maibock,Blonde Bock,Gordon Biersch Brewery Restaurant,United States,7,3.33,177,163,Active,Blonde Bock Gordon Biersch Brewery Restaurant,6,14,3,34,42,16,3,27,38,10,63
Bocks,Maibock,Maibock,Capital Brewery,United States,6.2,3.79,165,166,Active,Maibock Capital Brewery,3,33,22,24,35,15,1,18,37,5,45
Bocks,Maibock,Maibock Hurts Like Helles,Jack's Abby Brewing,United States,6.5,3.88,67,249,Active,Maibock Hurts Like Helles Jack's Abby Brewing,4,54,10,19,40,22,0,21,31,10,72
Bocks,Maibock,Narragansett Bock,Narragansett Brewing Co.,United States,6.5,3.82,116,169,Active,Narragansett Bock Narragansett Brewing Co.,18,42,8,27,63,30,3,43,45,9,74
Bocks,Maibock,Berkshire Maibock Lager,Berkshire Brewing Company Inc.,United States,6.5,3.88,132,98,Active,Berkshire Maibock Lager Berkshire Brewing Company Inc.,12,37,17,39,45,14,2,22,53,4,84
Bocks,Maibock,Blonde Double MaiBock,Stoudts Brewing Co.,United States,7,3.79,171,47,Active,Blonde Double MaiBock Stoudts Brewing Co.,18,35,21,37,72,20,1,34,53,9,67
Bocks,Maibock,Mai Bock,Sprecher Brewing Company,United States,6,3.74,128,67,Active,Mai Bock Sprecher Brewing Company,13,39,16,31,51,30,0,40,44,7,74
Bocks,Maibock,Strawgator,Abita Brewing Co.,United States,8,3.81,49,138,Active,Strawgator Abita Brewing Co.,24,53,10,33,58,20,0,25,57,15,96
Bocks,Maibock,1906 Reserva Especial,"Hijos De Rivera, S.A.",Spain,6.5,3.28,60,125,Active,"1906 Reserva Especial Hijos De Rivera, S.A.",9,36,18,16,95,16,0,67,26,1,51
Bocks,Maibock,Maibock,Gordon Biersch Brewery Restaurant,United States,7.3,3.51,62,121,Active,Maibock Gordon Biersch Brewery Restaurant,20,30,10,30,20,6,3,9,48,9,55
Bocks,Maibock,Dead 'N' Dead,Rogue Ales,United States,9.5,4.0,75,107,Active,Dead 'N' Dead Rogue Ales,12,28,11,25,53,21,1,25,31,8,67
Bocks,Maibock,Hubertus Bock,Hacker-Pschorr Bräu GmbH,Germany,6.8,3.81,58,112,Active,Hubertus Bock Hacker-Pschorr Bräu GmbH,6,48,60,16,40,18,0,29,20,22,60
Bocks,Maibock,Bucking Bock,Rahr & Sons Brewing Company,United States,7.5,3.44,71,93,Active,Bucking Bock Rahr & Sons Brewing Company,17,41,27,28,47,26,2,33,42,6,86
Bocks,Maibock,Josephs Brau Spring Prost,Trader Joe's Brewing Company,United States,7.3,3.61,56,99,Active,Josephs Brau Spring Prost Trader Joe's Brewing Company,16,22,12,37,33,25,0,24,39,8,50
Bocks,Maibock,Ayinger Maibock,Ayinger Privatbrauerei,Germany,7.5,4.06,36,114,Active,Ayinger Maibock Ayinger Privatbrauerei,11,27,12,25,49,12,0,15,34,9,80
Bocks,Maibock,Primátor Maibock,Pivovar Náchod a.s.,Czech Republic,7.5,3.66,94,54,Active,Primátor Maibock Pivovar Náchod a.s.,12,39,16,30,55,6,0,15,65,13,78
Bocks,Maibock,Bergbock Hell,Klosterbrauerei Andechs,Germany,7,3.89,76,53,Active,Bergbock Hell Klosterbrauerei Andechs,14,43,24,38,44,14,2,18,52,11,76
